archetype,era,cost,source
linear 2-cmt PK,pre0622,15.3953,registry
linear 2-cmt PK,pre0622,1.4895,registry
linear 2-cmt PK,pre0622,10.0753,registry
linear 2-cmt PK,pre0622,0.9821,registry
linear 1-cmt PK,pre0622,7.3507,registry
linear 1-cmt PK,pre0622,0.9296,registry
linear 1-cmt PK,pre0622,13.8083,registry
linear 2-cmt PK,pre0622,22.6645,registry
linear 2-cmt PK,pre0622,12.0039,registry
linear 2-cmt PK,pre0622,1.8683,registry
linear 2-cmt PK,pre0622,9.3772,registry
linear 2-cmt PK,pre0622,2.1606,registry
linear 2-cmt PK,pre0622,2.0495,registry
linear 2-cmt PK,pre0622,1.1541,registry
linear 2-cmt PK,pre0622,22.5364,registry
linear 2-cmt PK,pre0622,9.3497,registry
linear 1-cmt PK,pre0622,9.7146,registry
linear 1-cmt PK,pre0622,12.506,registry
TTE/survival,pre0622,8.6201,registry
linear 2-cmt PK,pre0622,12.4927,registry
linear 1-cmt PK,pre0622,12.2478,registry
TMDD,pre0622,21.3118,registry
linear 3-cmt PK,pre0622,10.5415,registry
linear 3-cmt PK,pre0622,14.0367,registry
linear 1-cmt PK,pre0622,6.668,registry
linear 2-cmt PK,pre0622,7.1351,registry
linear 1-cmt PK,pre0622,11.3257,registry
linear 2-cmt PK,pre0622,14.6939,registry
Emax/effect PD,pre0622,9.1555,registry
linear 2-cmt PK,pre0622,2.0018,registry
linear 2-cmt PK,pre0622,8.391,registry
TTE/survival,pre0622,7.3423,registry
linear 1-cmt PK,pre0622,15.4492,registry
linear 2-cmt PK,pre0622,17.5886,registry
linear 2-cmt PK,pre0622,16.1471,registry
linear 2-cmt PK,pre0622,9.2448,registry
linear 2-cmt PK,pre0622,12.0637,registry
indirect-response PD,pre0622,13.3071,registry
linear 1-cmt PK,pre0622,11.59,registry
linear 1-cmt PK,pre0622,9.4059,registry
linear 2-cmt PK,pre0622,6.4303,registry
TMDD,pre0622,3.8367,registry
TMDD,pre0622,1.1553,registry
TMDD,pre0622,7.5147,registry
TMDD,pre0622,9.5468,registry
linear 3-cmt PK,pre0622,16.2265,registry
linear 3-cmt PK,pre0622,1.8418,registry
linear 1-cmt PK,pre0622,3.2062,registry
linear 1-cmt PK,pre0622,15.22,registry
linear 2-cmt PK,pre0622,9.9674,registry
linear 2-cmt PK,pre0622,7.3071,registry
linear 2-cmt PK,pre0622,7.4367,registry
TTE/survival,pre0622,19.7874,registry
linear 2-cmt PK,pre0622,12.4779,registry
linear 1-cmt PK,pre0622,8.6952,registry
MM/nonlinear PK,pre0622,2.0049,registry
linear 2-cmt PK,pre0622,15.3615,registry
linear 2-cmt PK,pre0622,9.6003,registry
linear 2-cmt PK,pre0622,13.8115,registry
linear 2-cmt PK,pre0622,8.7835,registry
linear 1-cmt PK,pre0622,5.2032,registry
linear 3-cmt PK,pre0622,18.7182,registry
linear 2-cmt PK,pre0622,12.549,registry
linear 1-cmt PK,pre0622,8.6918,registry
linear 3-cmt PK,pre0622,10.8847,registry
TTE/survival,pre0622,31.2429,registry
TMDD,pre0622,1.4513,registry
MM/nonlinear PK,pre0622,11.6455,registry
linear 3-cmt PK,pre0622,13.0153,registry
linear 2-cmt PK,pre0622,7.1822,registry
MM/nonlinear PK,pre0622,3.8836,registry
MM/nonlinear PK,pre0622,1.4821,registry
MM/nonlinear PK,pre0622,25.6763,registry
MM/nonlinear PK,pre0622,0.9581,registry
linear 3-cmt PK,pre0622,12.6068,registry
linear 2-cmt PK,pre0622,15.834,registry
linear 2-cmt PK,pre0622,15.7027,registry
linear 1-cmt PK,pre0622,12.9082,registry
linear 1-cmt PK,pre0622,0.7328,registry
linear 2-cmt PK,pre0622,11.8481,registry
MM/nonlinear PK,pre0622,8.6459,registry
linear 3-cmt PK,pre0622,2.5158,registry
linear 3-cmt PK,pre0622,7.274,registry
linear 3-cmt PK,pre0622,8.5518,registry
linear 1-cmt PK,pre0622,10.0582,registry
Emax/effect PD,pre0622,9.6328,registry
linear 1-cmt PK,pre0622,3.0222,registry
linear 1-cmt PK,pre0622,10.918,registry
linear 2-cmt PK,pre0622,15.1196,registry
linear 2-cmt PK,pre0622,7.6239,registry
linear 2-cmt PK,pre0622,8.2138,registry
linear 1-cmt PK,pre0622,6.2556,registry
linear 2-cmt PK,pre0622,5.1795,registry
linear 2-cmt PK,pre0622,9.2679,registry
linear 2-cmt PK,pre0622,4.6705,registry
linear 2-cmt PK,pre0622,4.6867,registry
linear 2-cmt PK,pre0622,8.5188,registry
linear 1-cmt PK,pre0622,16.1471,registry
linear 1-cmt PK,pre0622,9.2448,registry
linear 3-cmt PK,pre0622,9.6619,registry
linear 1-cmt PK,pre0622,1.8615,registry
linear 1-cmt PK,pre0622,9.0891,registry
linear 2-cmt PK,pre0622,11.8276,registry
linear 3-cmt PK,pre0622,11.2669,registry
linear 1-cmt PK,pre0622,10.0576,registry
indirect-response PD,pre0622,11.2404,registry
linear 1-cmt PK,pre0622,5.4094,registry
linear 1-cmt PK,pre0622,8.5204,registry
linear 1-cmt PK,pre0622,15.7027,registry
linear 1-cmt PK,pre0622,19.0466,registry
linear 1-cmt PK,pre0622,1.7421,registry
linear 1-cmt PK,pre0622,7.2299,registry
linear 2-cmt PK,pre0622,12.6307,registry
Emax/effect PD,pre0622,9.5348,registry
linear 2-cmt PK,pre0622,21.3118,registry
linear 2-cmt PK,pre0622,5.8308,registry
MM/nonlinear PK,pre0622,1.687,registry
linear 1-cmt PK,pre0622,9.6311,registry
Emax/effect PD,pre0622,6.8443,registry
MM/nonlinear PK,pre0622,11.4294,registry
linear 2-cmt PK,pre0622,6.8802,registry
linear 2-cmt PK,pre0622,9.7859,registry
linear 1-cmt PK,pre0622,9.8021,registry
linear 1-cmt PK,pre0622,6.959,registry
linear 3-cmt PK,pre0622,8.6841,registry
linear 2-cmt PK,pre0622,25.6499,registry
linear 2-cmt PK,pre0622,2.5214,registry
linear 2-cmt PK,pre0622,1.3829,registry
linear 1-cmt PK,pre0622,16.5618,registry
Emax/effect PD,pre0622,21.6062,registry
MM/nonlinear PK,pre0622,7.6561,registry
linear 2-cmt PK,pre0622,8.4277,registry
linear 2-cmt PK,pre0622,14.062,registry
indirect-response PD,pre0622,14.062,registry
linear 2-cmt PK,pre0622,2.4393,registry
linear 2-cmt PK,pre0622,3.1795,registry
linear 3-cmt PK,pre0622,8.4567,registry
TMDD,pre0622,20.8474,registry
linear 1-cmt PK,pre0622,14.1031,registry
linear 2-cmt PK,pre0622,13.0294,registry
linear 3-cmt PK,pre0622,12.3273,registry
linear 3-cmt PK,pre0622,12.6395,registry
linear 3-cmt PK,pre0622,12.1354,registry
linear 1-cmt PK,pre0622,12.4592,registry
linear 1-cmt PK,pre0622,9.6868,registry
linear 1-cmt PK,pre0622,3.8518,registry
linear 1-cmt PK,pre0622,0.7328,registry
linear 1-cmt PK,pre0622,6.2672,registry
linear 1-cmt PK,pre0622,9.7265,registry
linear 2-cmt PK,pre0622,6.1565,registry
linear 2-cmt PK,pre0622,13.4725,registry
Emax/effect PD,pre0622,1.3896,registry
linear 2-cmt PK,pre0622,10.538,registry
linear 2-cmt PK,pre0622,13.1828,registry
linear 2-cmt PK,pre0622,8.1368,registry
linear 2-cmt PK,pre0622,14.1429,registry
linear 2-cmt PK,pre0622,17.9645,registry
linear 2-cmt PK,pre0622,5.5966,registry
linear 1-cmt PK,pre0622,5.7587,registry
linear 1-cmt PK,pre0622,12.859,registry
linear 1-cmt PK,pre0622,3.5857,registry
linear 1-cmt PK,pre0622,10.4956,registry
linear 2-cmt PK,pre0622,9.326,registry
Emax/effect PD,pre0622,21.253,registry
indirect-response PD,pre0622,14.1964,registry
TMDD,pre0622,12.108,registry
TMDD,pre0622,0.9512,registry
linear 2-cmt PK,pre0622,14.062,registry
linear 2-cmt PK,pre0622,10.6656,registry
linear 2-cmt PK,pre0622,7.4838,registry
linear 3-cmt PK,pre0622,8.206,registry
linear 1-cmt PK,pre0622,3.2786,registry
linear 1-cmt PK,pre0622,16.9321,registry
Emax/effect PD,pre0622,8.9723,registry
linear 2-cmt PK,pre0622,7.2186,registry
linear 1-cmt PK,pre0622,7.169,registry
linear 2-cmt PK,pre0622,11.2308,registry
linear 2-cmt PK,pre0622,25.0924,registry
linear 2-cmt PK,pre0622,8.3076,registry
Emax/effect PD,pre0622,6.4563,registry
linear 2-cmt PK,pre0622,4.442,registry
linear 2-cmt PK,pre0622,7.1324,registry
linear 3-cmt PK,pre0622,6.8802,registry
linear 3-cmt PK,pre0622,9.7859,registry
linear 1-cmt PK,pre0622,10.4561,registry
linear 2-cmt PK,pre0622,4.6234,registry
linear 2-cmt PK,pre0622,6.1074,registry
linear 3-cmt PK,pre0622,8.7131,registry
linear 3-cmt PK,pre0622,20.5639,registry
linear 2-cmt PK,pre0622,8.7835,registry
indirect-response PD,pre0622,22.6645,registry
linear 1-cmt PK,pre0622,9.6537,registry
linear 3-cmt PK,pre0622,3.3675,registry
MM/nonlinear PK,pre0622,12.3273,registry
MM/nonlinear PK,pre0622,12.6395,registry
MM/nonlinear PK,pre0622,12.1354,registry
linear 1-cmt PK,pre0622,25.0728,registry
linear 2-cmt PK,pre0622,15.07,registry
linear 2-cmt PK,pre0622,19.1783,registry
linear 3-cmt PK,pre0622,10.2283,registry
linear 2-cmt PK,pre0622,1.2676,registry
linear 1-cmt PK,pre0622,9.3477,registry
linear 1-cmt PK,pre0622,1.4458,registry
linear 1-cmt PK,pre0622,8.2574,registry
linear 1-cmt PK,pre0622,12.4099,registry
Emax/effect PD,pre0622,9.646,registry
TMDD,pre0622,19.7445,registry
linear 3-cmt PK,pre0622,3.2011,registry
linear 2-cmt PK,pre0622,6.1106,registry
linear 2-cmt PK,pre0622,5.7082,registry
linear 2-cmt PK,pre0622,6.9273,registry
Emax/effect PD,pre0622,14.8742,registry
linear 1-cmt PK,pre0622,6.2217,registry
linear 3-cmt PK,pre0622,15.9328,registry
linear 2-cmt PK,pre0622,8.2629,registry
linear 2-cmt PK,pre0622,7.3234,registry
linear 2-cmt PK,pre0622,4.4725,registry
MM/nonlinear PK,pre0622,1.4933,registry
linear 2-cmt PK,pre0622,14.4485,registry
TMDD,pre0622,1.746,registry
TMDD,pre0622,11.5795,registry
linear 1-cmt PK,pre0622,27.6152,registry
linear 2-cmt PK,pre0622,8.6733,registry
linear 2-cmt PK,pre0622,8.3519,registry
linear 3-cmt PK,pre0622,6.9777,registry
Emax/effect PD,pre0622,15.4119,registry
linear 2-cmt PK,pre0622,13.0618,registry
linear 2-cmt PK,pre0622,16.1835,registry
linear 1-cmt PK,pre0622,9.0611,registry
linear 2-cmt PK,pre0622,8.3076,registry
linear 2-cmt PK,pre0622,1.8066,registry
linear 1-cmt PK,pre0622,7.4505,registry
linear 1-cmt PK,pre0622,18.3605,registry
linear 2-cmt PK,pre0622,11.7156,registry
linear 2-cmt PK,pre0622,13.6614,registry
linear 1-cmt PK,pre0622,10.2005,registry
linear 2-cmt PK,pre0622,5.5113,registry
linear 2-cmt PK,pre0622,4.9657,registry
linear 1-cmt PK,pre0622,15.7027,registry
linear 2-cmt PK,pre0622,8.7582,registry
Emax/effect PD,pre0622,14.8742,registry
Emax/effect PD,pre0622,9.646,registry
linear 1-cmt PK,pre0622,1.7312,registry
Emax/effect PD,pre0622,13.9649,registry
linear 1-cmt PK,pre0622,15.7027,registry
linear 2-cmt PK,pre0622,9.1331,registry
TMDD,pre0622,15.5768,registry
TMDD,pre0622,13.8457,registry
Emax/effect PD,pre0622,17.1465,registry
linear 1-cmt PK,pre0622,8.9942,registry
linear 1-cmt PK,pre0622,15.22,registry
linear 2-cmt PK,pre0622,8.8823,registry
linear 2-cmt PK,pre0622,5.2684,registry
linear 3-cmt PK,pre0622,18.6985,registry
linear 1-cmt PK,pre0622,10.4788,registry
linear 3-cmt PK,pre0622,5.4322,registry
linear 1-cmt PK,pre0622,15.1056,registry
linear 1-cmt PK,pre0622,5.7962,registry
MM/nonlinear PK,pre0622,4.2716,registry
linear 2-cmt PK,pre0622,8.9345,registry
linear 2-cmt PK,pre0622,13.6968,registry
linear 2-cmt PK,pre0622,12.8122,registry
linear 3-cmt PK,pre0622,9.2007,registry
linear 3-cmt PK,pre0622,1.9822,registry
linear 1-cmt PK,pre0622,13.7818,registry
MM/nonlinear PK,pre0622,14.836,registry
MM/nonlinear PK,pre0622,8.2139,registry
linear 1-cmt PK,pre0622,16.2253,registry
linear 2-cmt PK,pre0622,8.9277,registry
linear 2-cmt PK,pre0622,14.7296,registry
linear 2-cmt PK,pre0622,7.5371,registry
linear 1-cmt PK,pre0622,7.7034,registry
linear 2-cmt PK,pre0622,14.5943,registry
linear 2-cmt PK,pre0622,10.5232,registry
linear 3-cmt PK,pre0622,8.0615,registry
linear 3-cmt PK,pre0622,2.743,registry
linear 2-cmt PK,pre0622,5.7221,registry
linear 1-cmt PK,pre0622,22.0769,registry
linear 3-cmt PK,pre0622,1.8683,registry
linear 3-cmt PK,pre0622,9.3772,registry
linear 3-cmt PK,pre0622,2.1606,registry
linear 3-cmt PK,pre0622,2.0495,registry
linear 3-cmt PK,pre0622,1.1541,registry
linear 2-cmt PK,pre0622,7.2804,registry
linear 2-cmt PK,pre0622,9.4065,registry
linear 3-cmt PK,pre0622,28.0655,registry
linear 2-cmt PK,pre0622,9.3159,registry
linear 2-cmt PK,pre0622,16.2048,registry
linear 3-cmt PK,pre0622,11.1332,registry
linear 1-cmt PK,pre0622,5.798,registry
Emax/effect PD,pre0622,3.0157,registry
indirect-response PD,pre0622,41.8656,registry
TMDD,pre0622,4.2192,registry
TTE/survival,pre0622,14.7119,registry
TTE/survival,pre0622,16.1615,registry
linear 2-cmt PK,pre0622,8.6459,registry
linear 1-cmt PK,pre0622,2.5917,registry
linear 1-cmt PK,pre0622,5.499,registry
linear 1-cmt PK,pre0622,11.4178,registry
linear 2-cmt PK,pre0622,20.4783,registry
linear 2-cmt PK,pre0622,14.062,registry
linear 2-cmt PK,pre0622,1.3494,registry
linear 1-cmt PK,pre0622,9.5786,registry
linear 3-cmt PK,pre0622,21.3118,registry
linear 3-cmt PK,pre0622,3.0571,registry
Emax/effect PD,pre0622,8.1922,registry
linear 2-cmt PK,pre0622,13.8705,registry
linear 2-cmt PK,pre0622,2.1194,registry
linear 2-cmt PK,pre0622,6.0039,registry
TTE/survival,pre0622,16.2941,registry
linear 2-cmt PK,pre0622,13.5695,registry
linear 1-cmt PK,pre0622,7.1953,registry
linear 2-cmt PK,pre0622,15.3674,registry
linear 2-cmt PK,pre0622,5.2577,registry
linear 2-cmt PK,pre0622,14.062,registry
linear 1-cmt PK,pre0622,7.8034,registry
linear 2-cmt PK,pre0622,7.2804,registry
linear 2-cmt PK,pre0622,6.6197,registry
Emax/effect PD,pre0622,26.2124,registry
indirect-response PD,pre0622,11.6169,registry
linear 2-cmt PK,pre0622,2.1437,registry
linear 1-cmt PK,pre0622,6.1106,registry
linear 1-cmt PK,pre0622,5.7082,registry
linear 1-cmt PK,pre0622,7.2494,registry
linear 2-cmt PK,pre0622,10.355,registry
Emax/effect PD,pre0622,15.3943,registry
linear 1-cmt PK,pre0622,7.1567,registry
linear 2-cmt PK,pre0622,7.801,registry
linear 1-cmt PK,pre0622,5.5381,registry
MM/nonlinear PK,pre0622,25.6477,registry
linear 3-cmt PK,pre0622,24.3339,registry
linear 2-cmt PK,pre0622,18.1081,registry
linear 1-cmt PK,pre0622,8.5441,registry
linear 2-cmt PK,pre0622,10.8084,registry
linear 1-cmt PK,pre0622,7.8248,registry
linear 1-cmt PK,pre0622,5.4322,registry
Emax/effect PD,pre0622,13.9649,registry
linear 2-cmt PK,pre0622,11.8276,registry
linear 2-cmt PK,pre0622,8.2909,registry
TMDD,pre0622,4.2514,registry
linear 1-cmt PK,pre0622,4.6532,registry
linear 2-cmt PK,pre0622,16.6503,registry
linear 2-cmt PK,pre0622,7.9016,registry
linear 2-cmt PK,pre0622,14.7016,registry
Emax/effect PD,pre0622,11.5191,registry
linear 2-cmt PK,pre0622,5.5113,registry
linear 2-cmt PK,pre0622,4.9657,registry
linear 1-cmt PK,pre0622,0.7125,registry
linear 1-cmt PK,pre0622,8.6739,registry
Emax/effect PD,pre0622,11.0905,registry
linear 2-cmt PK,pre0622,14.4556,registry
linear 1-cmt PK,pre0622,20.3362,registry
linear 1-cmt PK,pre0622,7.7907,registry
linear 2-cmt PK,pre0622,6.3885,registry
linear 2-cmt PK,pre0622,6.2721,registry
linear 1-cmt PK,pre0622,9.599,registry
linear 1-cmt PK,pre0622,8.5562,registry
TTE/survival,pre0622,1.2744,registry
linear 1-cmt PK,pre0622,12.5561,registry
linear 2-cmt PK,pre0622,7.7772,registry
linear 2-cmt PK,pre0622,7.357,registry
Emax/effect PD,pre0622,15.667,registry
TMDD,pre0622,2.8508,registry
MM/nonlinear PK,pre0622,9.9302,registry
linear 1-cmt PK,pre0622,19.3256,registry
linear 2-cmt PK,pre0622,17.5842,registry
linear 1-cmt PK,pre0622,12.1957,registry
Emax/effect PD,pre0622,14.8742,registry
linear 1-cmt PK,pre0622,16.4994,registry
linear 1-cmt PK,pre0622,8.9422,registry
MM/nonlinear PK,pre0622,9.9081,registry
MM/nonlinear PK,pre0622,6.7809,registry
linear 1-cmt PK,pre0622,2.8171,registry
TMDD,pre0622,7.8374,registry
linear 1-cmt PK,pre0622,12.7985,registry
linear 1-cmt PK,pre0622,0.9148,registry
linear 3-cmt PK,pre0622,19.1439,registry
linear 2-cmt PK,pre0622,4.5063,registry
TTE/survival,pre0622,13.1792,registry
MM/nonlinear PK,pre0622,9.9302,registry
linear 1-cmt PK,pre0622,11.5754,registry
TTE/survival,pre0622,10.2859,registry
linear 2-cmt PK,pre0622,18.0669,registry
linear 1-cmt PK,pre0622,6.0214,registry
linear 1-cmt PK,pre0622,7.5157,registry
linear 2-cmt PK,pre0622,9.1273,registry
linear 2-cmt PK,pre0622,10.3599,registry
linear 2-cmt PK,pre0622,23.1078,registry
linear 2-cmt PK,pre0622,11.6662,registry
linear 1-cmt PK,pre0622,9.3204,registry
TTE/survival,pre0622,2.5917,registry
TTE/survival,pre0622,5.499,registry
TTE/survival,pre0622,11.4178,registry
linear 1-cmt PK,pre0622,9.793,registry
linear 1-cmt PK,pre0622,10.2244,registry
linear 2-cmt PK,pre0622,12.4401,registry
linear 2-cmt PK,pre0622,11.9584,registry
TMDD,pre0622,3.8367,registry
TMDD,pre0622,1.1553,registry
TMDD,pre0622,7.5147,registry
indirect-response PD,pre0622,9.6689,registry
MM/nonlinear PK,pre0622,15.8383,registry
indirect-response PD,pre0622,9.6395,registry
linear 2-cmt PK,pre0622,11.3935,registry
linear 2-cmt PK,pre0622,12.8011,registry
linear 3-cmt PK,pre0622,7.1923,registry
indirect-response PD,pre0622,14.1964,registry
linear 2-cmt PK,pre0622,15.6655,registry
Emax/effect PD,pre0622,12.4927,registry
linear 2-cmt PK,pre0622,14.3422,registry
linear 1-cmt PK,pre0622,1.4753,registry
linear 1-cmt PK,pre0622,10.9832,registry
linear 1-cmt PK,pre0622,2.0435,registry
MM/nonlinear PK,pre0622,8.5316,registry
linear 2-cmt PK,pre0622,11.4569,registry
